Title,Tag,genres,rating
interstellar,3,"['Animation', 'Comedy', 'Family']",3
inception,1,"['Adventure', 'Fantasy', 'Family']",4.5
darkknight,3,"['Romance', 'Comedy']",2.5
,,"['Comedy', 'Drama', 'Romance']",
,,['Comedy'],
,,"['Action', 'Crime', 'Drama', 'Thriller']",
,,"['Comedy', 'Romance']",
,,"['Action', 'Adventure', 'Drama', 'Family']",
,,"['Action', 'Adventure', 'Thriller']",
,,"['Adventure', 'Action', 'Thriller']",
,,"['Comedy', 'Drama', 'Romance']",
,,"['Comedy', 'Horror']",
,,"['Family', 'Animation', 'Adventure']",
,,"['History', 'Drama']",
,,"['Action', 'Adventure']",
,,"['Drama', 'Crime']",
,,"['Drama', 'Romance']",
,,"['Crime', 'Comedy']",
,,"['Crime', 'Comedy', 'Adventure']",
,,"['Action', 'Comedy', 'Crime']",
,,"['Comedy', 'Thriller', 'Crime']",
,,"['Drama', 'Thriller']",
,,"['Action', 'Adventure', 'Crime', 'Thriller']",
,,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",
,,"['Drama', 'Romance']",
,,['Drama'],
,,"['Comedy', 'Drama', 'Family']",
,,"['Drama', 'Romance']",
,,"['Fantasy', 'Science Fiction', 'Adventure']",
,,"['Drama', 'Crime']",
,,"['Drama', 'Crime']",
,,"['Science Fiction', 'Thriller', 'Mystery']",
,,"['Fantasy', 'Drama', 'Comedy', 'Family']",
,,"['History', 'Drama', 'Romance']",
,,['Drama'],
,,"['Adventure', 'History', 'Drama', 'Family']",
,,"['Comedy', 'Family', 'Romance']",
,,"['Comedy', 'Drama', 'Romance']",
,,['Drama'],
,,"['Drama', 'War']",
,,"['Action', 'Crime', 'Drama', 'History']",
,,"['Drama', 'Romance']",
,,"['Action', 'Fantasy']",
,,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",
